id,clue id,clue
5949_J_1_1,J_1_1,The Wigwam Motel in California still stands along this historic route.
5949_J_2_1,J_2_1,"This man who wrote ""Notes on the State of Virginia"" was governor of the state until 1781."
5949_J_3_1,J_3_1,"Located in Lawrence, it has produced 27 Rhodes scholars."
5949_J_4_1,J_4_1,"This ""Little"" St.-Exupery guy comes from a little world--it's not even a planet, it's Asteroid B-612."
5949_J_5_1,J_5_1,You should know this alliterative wager in which you select the winners in 2 consecutive races.
5949_J_6_1,J_6_1,Solo for a soprano.
5949_J_1_2,J_1_2,The Tunisian locale seen here was featured in this film series--& you can stay there.
5949_J_2_2,J_2_2,This Virginia governor & friend of the Clintons served as chairman of the Democratic National Committee from 2001 to 2005.
5949_J_3_2,J_3_2,"In 1966 a student holiday at this Waco school was named Dia Del Oso, or ""The Day of the Bear""."
5949_J_4_2,J_4_2,"Children, dead animals & Native American lore; what more could you want than this 1983 Stephen King novel."
5949_J_5_2,J_5_2,"If you make this bet, as opposed to win or place, you win if your horse comes in first, second or third."
5949_J_6_2,J_6_2,A single sheet of window glass.
5949_J_1_3,J_1_3,"The Liberty Hotel in Boston was once one of these, a collaboration between an architect & a penologist."
5949_J_2_3,J_2_3,"Governor in the 1990s, he shares his name with his father who coached the Rams & Redskins."
5949_J_3_3,J_3_3,"Though its name connotes more engineering than soft rock tunes, this Lubbock U. boasts John Denver as an alum."
5949_J_4_3,J_4_3,"He drew inspiration from his life as a sailor for his novel ""Lord Jim""."
5949_J_5_3,J_5_3,This 2-word term denotes a horse with little chance to win; its posted odds can run as high as 99-1.
5949_J_6_3,J_6_3,Kilauea output.
5949_J_1_4,J_1_4,Seen here is the sign for the Sun 'n Sand Motel in this state.
5949_J_2_4,J_2_4,In June 1776 Virginia became an independent commonwealth & this famed orator was elected its first governor.
5949_J_3_4,J_3_4,This university Ames to please with murals by Grant Wood in its library.
5949_J_4_4,J_4_4,Irving Stone's fictionalized biography of artist Vincent Van Gogh has this passionate 3-word title.
5949_J_5_4,J_5_4,"Your bet may move to the favorite if you've bet on a horse that's pulled out of a race before it starts, this action."
5949_J_6_4,J_6_4,Venison & rabbit are this kind of meat.
5949_J_1_5,J_1_5,"Welcome to the ""Crazy House""--it's the nickname for the Hằng Nga House in this country."
5949_J_2_5,J_2_5,"Nicknamed ""Light-Horse Harry"", he represented the Federalist party as governor of Virginia."
5949_J_3_5,J_3_5,"Well, we're livin' here in Morgantown /At this Big 12 land-grant school of renown."
5949_J_4_5,J_4_5,"""The Bridge of San Luis Rey"" earned this author a Pulitzer Prize."
5949_J_5_5,J_5_5,In horse racing you don't bet against the house; bets are pooled & split among winners in this hyphenated betting system.
5949_J_6_5,J_6_5,"Lignite, for example."
5949_DJ_1_1,DJ_1_1,"In 2012 more than 1,200 artworks looted by the Nazis were discovered in an apartment in this capital of Bavaria."
5949_DJ_2_1,DJ_2_1,She worked as a stockbroker before starting a catering business out of her basement.
5949_DJ_3_1,DJ_3_1,"If you worked at this HBO amusement park of the future, it was best to stay away from Ed Harris."
5949_DJ_4_1,DJ_4_1,Some of the masonry used in the 18th century Pont de la Concorde came from the ruins of this Parisian prison.
5949_DJ_5_1,DJ_5_1,"The Humane Society explains why Kitty is ""crazy for"" this perennial herb."
5949_DJ_6_1,DJ_6_1,"In 1993 the FDA approved Tacrine, the first drug to specifically target memory symptoms of this disease."
5949_DJ_1_2,DJ_1_2,"In 2006, three years after a theft, a Vienna museum got back its famous Benvenuto Cellini saliera, this item."
5949_DJ_2_2,DJ_2_2,Read all about it! In 2013 this Amazon founder bought the Washington Post.
5949_DJ_3_2,DJ_3_2,"Last name of ""Bindi the Jungle Girl"" on Discovery Kids, who, like her dad Steve, spreads ideas of conservation."
5949_DJ_4_2,DJ_4_2,"This canal is served by the El Ferdan swing bridge, the longest metal rotating bridge in the world."
5949_DJ_5_2,DJ_5_2,"To move joints in the body, as a chiropractor does."
5949_DJ_6_2,DJ_6_2,"Covering a wide range, this plant seen here helps you deal with both sunburns & frostbite."
5949_DJ_1_3,DJ_1_3,"The Munch Museum in this city had both ""The Scream"" & ""Madonna"" stolen in 2004 but recovered 2 years later."
5949_DJ_2_3,DJ_2_3,"Stanley Ho built this administrative region's gaming industry, owning more than 15 casinos though he doesn't gamble."
5949_DJ_3_3,DJ_3_3,"This comedian plays Tig Bavaro, exploring family mystery & history in ""One Mississippi""."
5949_DJ_4_3,DJ_4_3,"The 3 boroughs in New York City's Triborough Bridge are Manhattan, the Bronx & this."
5949_DJ_5_3,DJ_5_3,You can't leave the table until you name these 2 root veggies seen here.
5949_DJ_6_3,DJ_6_3,"Introduced in 1899, this brand ""works at the site of pain to provide targeted pain relief""."
5949_DJ_1_4,DJ_1_4,"He's giving one of the most famous kisses ever in a $100 million-plus Caravaggio, recovered in 2010."
5949_DJ_2_4,DJ_2_4,"Heeding his grandmother's advice, he didn't ""cut corners"" when he founded Wendy's."
5949_DJ_3_4,DJ_3_4,"On PBS, Benedict Cumberbatch's brilliant but wacky Sherlock is kept grounded by Dr. Watson, played by this actor."
5949_DJ_4_4,DJ_4_4,"Crossing a firth in this country, the Forth Bridge was once called the ""supremest specimen of all ugliness""."
5949_DJ_5_4,DJ_5_4,7-letter word for a small scrap or fragment.
5949_DJ_6_4,DJ_6_4,"In New York conditions that make one eligible for this alliterative aid include A.L.S., M.S. & Parkinson's."
5949_DJ_1_5,DJ_1_5,"Stolen in 1985, a work by this Dutch-born abstract expressionist was found in 2017 in a New Mexico home."
5949_DJ_2_5,DJ_2_5,"A descendant of a Mayflower passenger, Alfred Fuller made a name for himself selling these."
5949_DJ_3_5,DJ_3_5,The title of this Netflix show about an early 20th c. British street gang that gets rich refers to their distinctive caps.
5949_DJ_4_5,DJ_4_5,"As you can guess, the Victoria Falls Bridge over this African river has amazing views."
5949_DJ_5_5,DJ_5_5,"This long word follows ""minister"" to designate a diplomat with full power to represent his government."
5949_DJ_6_5,DJ_6_5,Emflaza decreases inflammation to fight the Duchenne type of this 2-word disease.
5949_FJ,FJ,"The father of this future composer was a French teacher at the Warsaw Lyceum, where the child would later attend."
